index,combination,occasion,vote_avg,vote_count,RATING COUNT,MEAN RATING,gender,skin_colour,combination,skin_tone
54,GREEN SHORT KURTA NAVY BLUE JEANS,GET TOGETHER,9.3,9533,312,4.88,MALE,MEDIUM FAIR,GREEN SHORT KURTA NAVY BLUE JEANS,MEDIUM FAIR  GREEN SHORT KURTA NAVY BLUE JEANS
55,PRINTED KURTA WITH JACKET COMBO,GET TOGETHER,7.5,6937,288,4.13,MALE,MEDIUM FAIR,PRINTED KURTA WITH JACKET COMBO,MEDIUM FAIR  PRINTED KURTA WITH JACKET COMBO
56,SHORT UPPER KURTA WITH TROUSER,GET TOGETHER,6.8,7834,293,4.92,MALE,MEDIUM FAIR,SHORT UPPER KURTA WITH TROUSER,MEDIUM FAIR  SHORT UPPER KURTA WITH TROUSER
57,BLUE CHIKANKARI KURTAS,GET TOGETHER,6.2,8834,385,4.28,MALE,MEDIUM FAIR,BLUE CHIKANKARI KURTAS,MEDIUM FAIR  BLUE CHIKANKARI KURTAS
58,PATHANI SUITES WITH GREEN UPPER AND WHITE TRIUSER,GET TOGETHER,9.5,4875,334,4.06,MALE,MEDIUM FAIR,PATHANI SUITES WITH GREEN UPPER AND WHITE TRIUSER,MEDIUM FAIR  PATHANI SUITES WITH GREEN UPPER AND WHITE TRIUSER
59,RED KURTA WITH WHITE PAJAMA,GET TOGETHER,7.7,9478,236,4.85,MALE,MEDIUM FAIR,RED KURTA WITH WHITE PAJAMA,MEDIUM FAIR  RED KURTA WITH WHITE PAJAMA
60,T-SHIRT WITH JEANS,GET TOGETHER,8.5,5073,285,4.92,MALE,MEDIUM FAIR,T-SHIRT WITH JEANS,MEDIUM FAIR  T-SHIRT WITH JEANS
61,ORANGE SHIRT BLUE JEANS,INTERVIEW,6.2,8638,,,MALE,MEDIUM DARK,ORANGE SHIRT BLUE JEANS,MEDIUM DARK  ORANGE SHIRT BLUE JEANS
62,GREEN SHIRT BLUE JEANS,INTERVIEW,9.4,468,,,MALE,MEDIUM DARK,GREEN SHIRT BLUE JEANS,MEDIUM DARK  GREEN SHIRT BLUE JEANS
63,BLACK SHIRT GREY JEANS,INTERVIEW,6.3,9386,,,MALE,MEDIUM DARK,BLACK SHIRT GREY JEANS,MEDIUM DARK  BLACK SHIRT GREY JEANS
64,LIGHT BLUE SHIRT WITH GREY JEANS,INTERVIEW,5.8,753,,,MALE,MEDIUM DARK,LIGHT BLUE SHIRT WITH GREY JEANS,MEDIUM DARK  LIGHT BLUE SHIRT WITH GREY JEANS
65,PINK SHIRT WITH BLACK TROUSER,INTERVIEW,6.4,8368,,,MALE,MEDIUM DARK,PINK SHIRT WITH BLACK TROUSER,MEDIUM DARK  PINK SHIRT WITH BLACK TROUSER
66,WHITE SHIRT WITH BLACK TROUSER,INTERVIEW,8.3,3863,,,MALE,MEDIUM DARK,WHITE SHIRT WITH BLACK TROUSER,MEDIUM DARK  WHITE SHIRT WITH BLACK TROUSER
67,GREEN SHIRT BLACK JEANS,INTERVIEW,9,5848,,,MALE,MEDIUM DARK,GREEN SHIRT BLACK JEANS,MEDIUM DARK  GREEN SHIRT BLACK JEANS
68,CASUAL BLACK TSHIRT WITH BLUE JEANS,FRESHERS,6.8,3763,,,MALE,MEDIUM DARK,CASUAL BLACK TSHIRT WITH BLUE JEANS,MEDIUM DARK  CASUAL BLACK TSHIRT WITH BLUE JEANS
69,BLACK SUIT WITH TUXEDO,FRESHERS,8.6,4737,,,MALE,MEDIUM DARK,BLACK SUIT WITH TUXEDO,MEDIUM DARK  BLACK SUIT WITH TUXEDO
70,LIGHT BLUE SHIRT WITH DARK BLUE TROUSER,FRESHERS,9.8,3747,,,MALE,MEDIUM DARK,LIGHT BLUE SHIRT WITH DARK BLUE TROUSER,MEDIUM DARK  LIGHT BLUE SHIRT WITH DARK BLUE TROUSER
71,BLUE SHIRT WITH BLUE TROUSER,FRESHERS,7.1,3737,,,MALE,MEDIUM DARK,BLUE SHIRT WITH BLUE TROUSER,MEDIUM DARK  BLUE SHIRT WITH BLUE TROUSER
72,JACQUARD SYMMETRIC SHERWANI,FRESHERS,5.8,9637,,,MALE,MEDIUM DARK,JACQUARD SYMMETRIC SHERWANI,MEDIUM DARK  JACQUARD SYMMETRIC SHERWANI
73,LIGHT PINK SHERVANI WITH WHITE KURTA,FRESHERS,6.4,846,,,MALE,MEDIUM DARK,LIGHT PINK SHERVANI WITH WHITE KURTA,MEDIUM DARK  LIGHT PINK SHERVANI WITH WHITE KURTA
74,WHITE SHIRT WITH DARK BLUE TROUSER,FRESHERS,8.3,964,,,MALE,MEDIUM DARK,WHITE SHIRT WITH DARK BLUE TROUSER,MEDIUM DARK  WHITE SHIRT WITH DARK BLUE TROUSER
75,RAYON JODHPURI SUIT IN BEIGE,FRESHERS,9,8375,,,MALE,MEDIUM DARK,RAYON JODHPURI SUIT IN BEIGE,MEDIUM DARK  RAYON JODHPURI SUIT IN BEIGE
76,NEHRU JACKET BLACK WITH WHITE WEAR,FRESHERS,6.8,1475,,,MALE,MEDIUM DARK,NEHRU JACKET BLACK WITH WHITE WEAR,MEDIUM DARK  NEHRU JACKET BLACK WITH WHITE WEAR
77,BLACK KURTA PAYJAMA,FRESHERS,8.6,24673,,,MALE,MEDIUM DARK,BLACK KURTA PAYJAMA,MEDIUM DARK  BLACK KURTA PAYJAMA
78,PINK T-SHIRT WITH LIGHT BLUE JEANS,FRESHERS,9.3,5727,,,MALE,MEDIUM DARK,PINK T-SHIRT WITH LIGHT BLUE JEANS,MEDIUM DARK  PINK T-SHIRT WITH LIGHT BLUE JEANS
79,T-SHIRT WITH JEANS AND BLACK LEATHER,GET TOGETHER,8.8,3758,,,MALE,MEDIUM DARK,T-SHIRT WITH JEANS AND BLACK LEATHER,MEDIUM DARK  T-SHIRT WITH JEANS AND BLACK LEATHER
80,CHECK SHIRTS WITH FINE DEGIEN,GET TOGETHER,7.9,8684,,,MALE,MEDIUM DARK,CHECK SHIRTS WITH FINE DEGIEN,MEDIUM DARK  CHECK SHIRTS WITH FINE DEGIEN
81,GREEN KURTA WITH WHITE PAJAMA,GET TOGETHER,9.3,8844,,,MALE,MEDIUM DARK,GREEN KURTA WITH WHITE PAJAMA,MEDIUM DARK  GREEN KURTA WITH WHITE PAJAMA
82,GREEN POLO SHIRT LIGHT BLACK SHADE JEANS,GET TOGETHER,7.5,8357,,,MALE,MEDIUM DARK,GREEN POLO SHIRT LIGHT BLACK SHADE JEANS,MEDIUM DARK  GREEN POLO SHIRT LIGHT BLACK SHADE JEANS
83,DARK BLUE SHIRT WITH BLACK PANT,GET TOGETHER,6.8,8373,,,MALE,MEDIUM DARK,DARK BLUE SHIRT WITH BLACK PANT,MEDIUM DARK  DARK BLUE SHIRT WITH BLACK PANT
84,WHITE T- SHIRT WITH BLACK JEANS,GET TOGETHER,6.9,5362,,,MALE,MEDIUM DARK,WHITE T- SHIRT WITH BLACK JEANS,MEDIUM DARK  WHITE T- SHIRT WITH BLACK JEANS
85,SAAFFRON SHIRT WITH WHITE DHOTI,GET TOGETHER,7.2,2627,,,MALE,MEDIUM DARK,SAAFFRON SHIRT WITH WHITE DHOTI,MEDIUM DARK  SAAFFRON SHIRT WITH WHITE DHOTI
86,MEHROOM SHERWANI,GET TOGETHER,9.1,4967,,,MALE,MEDIUM DARK,MEHROOM SHERWANI,MEDIUM DARK  MEHROOM SHERWANI
87,WHITE SHIRT WITH BLACK TROUSER,GET TOGETHER,8.3,3804,,,MALE,MEDIUM DARK,WHITE SHIRT WITH BLACK TROUSER,MEDIUM DARK  WHITE SHIRT WITH BLACK TROUSER
88,YELLOW DHOTI KURTA,GET TOGETHER,7.9,9004,,,MALE,MEDIUM DARK,YELLOW DHOTI KURTA,MEDIUM DARK  YELLOW DHOTI KURTA
